date,open,high,low,close
2024.02.22,2025.61,2034.86,2019.48,2024.27
2024.02.23,2024.37,2041.39,2015.92,2035.52
2024.02.26,2034.32,2037.10,2024.94,2031.16
2024.02.27,2031.45,2039.51,2028.63,2030.38
2024.02.28,2030.71,2037.94,2024.38,2034.37
2024.02.29,2034.37,2050.78,2027.97,2044.12
2024.03.01,2043.77,2088.38,2038.92,2083.26
2024.03.04,2082.51,2119.94,2079.37,2114.27
2024.03.05,2114.59,2141.81,2110.43,2127.84
2024.03.06,2128.00,2152.27,2123.59,2148.03
2024.03.07,2148.94,2164.76,2144.20,2159.93
2024.03.08,2159.28,2195.22,2153.96,2178.55
2024.03.11,2181.21,2189.03,2174.72,2182.65
2024.03.12,2182.17,2184.76,2150.50,2158.13
2024.03.13,2158.00,2179.85,2155.72,2174.32
2024.03.14,2174.54,2176.97,2152.75,2162.19
2024.03.15,2162.32,2172.71,2155.17,2155.82
2024.03.18,2153.03,2163.58,2146.08,2160.26
2024.03.19,2160.11,2162.77,2147.14,2157.48
2024.03.20,2157.70,2188.77,2149.61,2186.24
2024.03.21,2187.18,2222.65,2166.43,2181.25
2024.03.22,2181.51,2186.03,2157.09,2165.27
2024.03.25,2165.90,2181.26,2163.50,2171.73
2024.03.26,2171.60,2200.03,2167.57,2178.63
2024.03.27,2178.08,2197.55,2172.87,2194.88
2024.03.28,2193.40,2236.18,2187.27,2232.88
2024.04.01,2241.94,2265.61,2228.51,2251.31
2024.04.02,2251.24,2281.01,2246.67,2280.53
2024.04.03,2279.92,2301.14,2265.42,2299.64
2024.04.04,2299.56,2305.56,2279.95,2290.95
2024.04.05,2291.03,2330.44,2267.75,2329.28
2024.04.08,2324.16,2353.84,2302.90,2338.82
2024.04.09,2338.74,2365.28,2336.97,2352.22
2024.04.10,2352.62,2360.03,2319.43,2333.55
2024.04.11,2334.00,2377.64,2325.85,2372.41
2024.04.12,2371.47,2431.44,2333.86,2344.22
2024.04.15,2355.60,2387.51,2323.98,2383.10
2024.04.16,2382.38,2398.18,2362.99,2382.85
2024.04.17,2382.53,2395.53,2354.54,2361.16
2024.04.18,2361.37,2392.76,2361.37,2378.86
2024.04.19,2379.14,2417.83,2372.91,2390.63
2024.04.22,2389.80,2389.80,2324.47,2327.25
2024.04.23,2327.71,2334.34,2291.39,2322.11
2024.04.24,2322.44,2337.19,2311.78,2315.96
2024.04.25,2315.96,2344.80,2304.80,2332.37
2024.04.26,2332.35,2352.50,2326.17,2337.78
2024.04.29,2337.22,2346.63,2320.04,2335.36
2024.04.30,2335.31,2336.23,2285.04,2286.30
2024.05.01,2286.76,2328.20,2281.63,2319.48
2024.05.02,2321.02,2326.43,2285.50,2303.51
2024.05.03,2303.93,2320.59,2277.38,2301.67
2024.05.06,2304.58,2331.99,2291.79,2323.76
2024.05.07,2324.06,2329.88,2310.01,2313.83
2024.05.08,2314.22,2321.32,2303.72,2308.83
2024.05.09,2308.69,2347.17,2306.73,2346.02
2024.05.10,2346.33,2378.32,2345.04,2360.47
2024.05.13,2361.90,2364.42,2332.11,2336.14
2024.05.14,2336.13,2359.61,2334.84,2358.00
2024.05.15,2358.02,2390.23,2351.84,2385.76
2024.05.16,2385.60,2397.25,2371.02,2376.72
2024.05.17,2377.11,2422.74,2374.05,2413.84
2024.05.20,2418.33,2450.07,2407.40,2426.22
2024.05.21,2426.30,2433.83,2406.43,2420.88
2024.05.22,2421.44,2426.59,2375.06,2378.58
2024.05.23,2379.66,2383.66,2326.68,2328.55
2024.05.24,2328.95,2347.37,2325.46,2333.86
2024.05.27,2338.09,2358.52,2331.68,2350.08
2024.05.28,2351.47,2364.14,2340.32,2361.13
2024.05.29,2360.95,2362.66,2334.61,2338.00
2024.05.30,2337.88,2351.77,2322.74,2342.98
2024.05.31,2344.26,2359.80,2320.60,2327.46
2024.06.03,2328.79,2354.76,2314.77,2350.45
2024.06.04,2351.90,2352.83,2315.62,2326.79
2024.06.05,2326.69,2357.41,2325.92,2355.13
2024.06.06,2356.80,2378.50,2353.44,2375.68
2024.06.07,2376.34,2387.69,2286.71,2293.38
2024.06.10,2294.71,2313.84,2287.78,2310.86
2024.06.11,2312.03,2319.94,2297.75,2316.73
2024.06.12,2317.07,2341.66,2310.75,2324.88
2024.06.13,2324.83,2326.67,2295.67,2303.85
2024.06.14,2304.18,2336.59,2301.62,2332.60
2024.06.17,2331.47,2332.87,2310.03,2318.96
2024.06.18,2319.05,2333.11,2306.64,2329.34
2024.06.19,2329.30,2335.06,2323.92,2327.98
2024.06.20,2329.07,2365.46,2327.81,2360.02
2024.06.21,2360.71,2368.73,2316.70,2321.42
2024.06.24,2321.36,2334.68,2317.73,2334.43
2024.06.25,2334.29,2337.13,2315.54,2319.51
2024.06.26,2319.35,2323.72,2293.67,2298.06
2024.06.27,2298.36,2330.91,2296.54,2327.48
2024.06.28,2328.03,2339.75,2319.06,2326.40
2024.07.01,2326.90,2338.53,2318.50,2331.72
2024.07.02,2331.75,2336.78,2319.12,2329.35
2024.07.03,2329.55,2364.92,2326.82,2356.07
2024.07.04,2356.17,2362.52,2350.64,2356.10
2024.07.05,2357.21,2392.91,2352.30,2391.06
2024.07.08,2386.21,2391.13,2351.14,2359.09
2024.07.09,2359.35,2371.33,2349.29,2363.73
2024.07.10,2364.12,2386.61,2362.19,2371.26
2024.07.11,2371.03,2424.54,2370.44,2415.30
